Complaint ID,Product,Sub-product,Issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,Company_grouped_filtered,Difference in days,Delay_Class
1195096,Bank account or service,Checking account,"Account opening, closing, or management",MD,20743,2015-01-15,2015-01-15,SunTrust Bank,Closed with explanation,Yes,No,SunTrust Bank,0,0
1195080,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",AZ,85142,2015-01-15,2015-01-20,Nationstar Mortgage,Closed with explanation,Yes,No,Nationstar Mortgage,5,1
1195077,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",RI,02908,2015-01-15,2015-01-16,JPMorgan Chase,Closed with explanation,Yes,Yes,JPMorgan Chase,1,0
1195066,Mortgage,Home equity loan or line of credit,Settlement process and costs,LA,70006,2015-01-15,2015-01-15,Capital One,Closed with explanation,Yes,No,Capital One,0,0
1195071,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",NY,14051,2015-01-15,2015-01-20,Nationstar Mortgage,Closed with explanation,Yes,Yes,Nationstar Mortgage,5,1
1195068,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",NJ,08515,2015-01-15,2015-01-15,Ocwen,Closed with explanation,Yes,No,Ocwen,0,0
1195082,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,OH,44119,2015-01-15,2015-01-15,"Capital Management Services, LP",Closed with explanation,Yes,No,Low Count Companies,0,0
1195457,Credit card,Unknown,APR or interest rate,MD,20876,2015-01-15,2015-01-20,SunTrust Bank,Closed with explanation,Yes,No,SunTrust Bank,5,1
1195629,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",FL,33010,2015-01-15,2015-01-15,JPMorgan Chase,Closed with explanation,Yes,No,JPMorgan Chase,0,0
1195081,Bank account or service,Savings account,"Account opening, closing, or management",MI,48383,2015-01-15,2015-01-15,JPMorgan Chase,Closed with explanation,Yes,Yes,JPMorgan Chase,0,0
1195243,Credit reporting,Unknown,Incorrect information on credit report,SC,29016,2015-01-15,2015-01-16,Equifax,Closed with explanation,Yes,No,Equifax,1,0
1195097,Credit reporting,Unknown,Incorrect information on credit report,MA,02151,2015-01-15,2015-01-22,TransUnion,Closed with explanation,Yes,No,TransUnion,7,1
1195095,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",CA,90746,2015-01-15,2015-01-20,Bank of America,Closed with explanation,Yes,No,Bank of America,5,1
1195628,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",PA,19128,2015-01-15,2015-01-15,Nationstar Mortgage,Closed with explanation,Yes,No,Nationstar Mortgage,0,0
1195601,Bank account or service,Checking account,"Account opening, closing, or management",PA,19121,2015-01-15,2015-01-20,PNC Bank,Closed with explanation,Yes,Yes,PNC Bank,5,1
